Sample ID,Salinity,SD of Salinity,Temperature,SD of Temperature,pKb,SD of pKb,d11Bsw,SD of d11Bsw,d11Bc,SD of d11Bc,pHcf,SD of pHcf
JR-9,32,0.1,25,0.1,,,39.61,0.2,18.25,0.00,,
Oys 6_1_5,32,0.1,25,0.1,,,39.61,0.2,17.63,0.01,,
Oys 6_1_6,32,0.1,25,0.1,,,39.61,0.2,16.71,0.57,,
 JR-125,32,0.1,25,0.1,,,39.61,0.2,13.37,1.17,,
Oys 6_2_2,32,0.1,25,0.1,,,39.61,0.2,16.91,0.23,,
Oys 6_2_3,32,0.1,25,0.1,,,39.61,0.2,16.82,0.11,,
Oys 6_2_4,32,0.1,25,0.1,,,39.61,0.2,18.82,2.90,,
Oys 6_3_2,32,0.1,25,0.1,,,39.61,0.2,16.78,0.03,,
JR-127,32,0.1,25,0.1,,,39.61,0.2,15.22,,,
JR-128,32,0.1,25,0.1,,,39.61,0.2,17.63,0.16,,
JR-129,32,0.1,25,0.1,,,39.61,0.2,15.95,3.48,,
JR-130,32,0.1,25,0.1,,,39.61,0.2,15.61,0.50,,
Oys 6_4_5,32,0.1,25,0.1,,,39.61,0.2,16.66,1.28,,
JR-120,32,0.1,25,0.1,,,39.61,0.2,18.43,0.11,,
Merc 6_1_6,32,0.1,25,0.1,,,39.61,0.2,17.53,,,
Merc 6_2_3,32,0.1,25,0.1,,,39.61,0.2,14.16,0.66,,
Merc 6_2_4,32,0.1,25,0.1,,,39.61,0.2,17.54,1.18,,
JR-121,32,0.1,25,0.1,,,39.61,0.2,15.44,0.59,,
JR-122,32,0.1,25,0.1,,,39.61,0.2,19.25,0.14,,
JR-123,32,0.1,25,0.1,,,39.61,0.2,16.66,0.09,,
JR-124,32,0.1,25,0.1,,,39.61,0.2,14.98,0.56,,
Merc 6_4_4,32,0.1,25,0.1,,,39.61,0.2,16.56,,,
MYT 6_1_1,32,0.1,25,0.1,,,39.61,0.2,16.04,1.76,,
MYT 6_1_2,32,0.1,25,0.1,,,39.61,0.2,15.65,1.76,,
MYT 6_1_3,32,0.1,25,0.1,,,39.61,0.2,13.07,2.97,,
MYT 6_2_2,32,0.1,25,0.1,,,39.61,0.2,14.32,1.39,,
MYT 6_2_3,32,0.1,25,0.1,,,39.61,0.2,13.54,0.21,,
MYT 6_2_15,32,0.1,25,0.1,,,39.61,0.2,15.57,2.85,,
MYT 6_3_1,32,0.1,25,0.1,,,39.61,0.2,16.86,0.27,,
MYT 6_3_2,32,0.1,25,0.1,,,39.61,0.2,14.92,0.43,,
MYT 6_3_7,32,0.1,25,0.1,,,39.61,0.2,14.21,0.08,,
MYT 6_4_2,32,0.1,25,0.1,,,39.61,0.2,14.92,2.40,,
MYT 6_4_5,32,0.1,25,0.1,,,39.61,0.2,14.83,1.79,,
MYT 6_4_9,32,0.1,25,0.1,,,39.61,0.2,13.70,2.73,,
